Dates,Mean
2021-10-27,108.7869444
2021-10-28,122.3894444
2021-10-29,127.2138889
2021-10-30,109.9972222
2021-10-31,129.0236111
2021-11-01,142.7336111
2021-11-02,138.7716667
2021-11-03,167.1502778
2021-11-04,326.2058333
2021-11-05,409.0066667
2021-11-06,321.445
2021-11-07,266.7983333
2021-11-08,256.4605556
2021-11-09,268.7845714
2021-11-10,233.1797222
2021-11-11,310.2422222
2021-11-12,389.4011111
2021-11-13,264.3494444
2021-11-14,186.4455556
2021-11-15,212.3588889
2021-11-16,258.4438889
2021-11-17,219.0144444
2021-11-18,220.5261111
2021-11-19,236.6297222
2021-11-20,225.8163889
2021-11-21,190.4338889
2021-11-22,140.2591667
2021-11-23,152.0558333
2021-11-24,232.71
2021-11-25,264.9330556
2021-11-26,279.4074286
2021-11-27,257.9202941
2021-11-28,277.0111429
2021-11-29,217.6725714
2021-11-30,177.4558333
2021-12-01,254.6661111
2021-12-02,265.5208333
2021-12-03,203.5633333
2021-12-04,172.6027778
2021-12-05,185.1488889
2021-12-06,143.9333333
2021-12-07,110.6652778
2021-12-08,116.3627778
2021-12-09,159.9638889
2021-12-10,151.1519444
2021-12-11,122.8638889
2021-12-12,145.3833333
2021-12-13,211.4238889
2021-12-14,234.5766667
2021-12-15,196.0155556
2021-12-16,223.9783333
2021-12-17,154.9686111
2021-12-18,142.4797222
2021-12-19,147.6586111
2021-12-20,198.3905556
2021-12-21,300.7202778
2021-12-22,315.7166667
2021-12-23,362.5566667
2021-12-24,300.9502778
